epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3643.58,0.5439,0.37677,0.91826,0.93005,0.91766,0.95524,0.70257,0.96459,0.50684,1.06048,0.002971,0.002971,0.002971
73,3695.57,0.54847,0.38694,0.92323,0.92854,0.92315,0.95695,0.70094,0.96339,0.50702,1.05938,0.002872,0.002872,0.002872
74,3746.68,0.54355,0.37694,0.91885,0.92407,0.92481,0.95519,0.70152,0.96114,0.50601,1.05765,0.002773,0.002773,0.002773
75,3797.59,0.53689,0.37207,0.91804,0.92819,0.91816,0.95637,0.70357,0.96233,0.5042,1.05738,0.002674,0.002674,0.002674
76,3849.37,0.53705,0.37341,0.91558,0.93115,0.91994,0.9562,0.70503,0.96254,0.50309,1.05741,0.002575,0.002575,0.002575
77,3901,0.53819,0.37187,0.91844,0.9307,0.92039,0.957,0.70364,0.96181,0.50174,1.05866,0.002476,0.002476,0.002476
78,3950.06,0.53277,0.36802,0.91359,0.9308,0.91642,0.95724,0.70404,0.96245,0.49988,1.05987,0.002377,0.002377,0.002377
79,3999.53,0.52239,0.36511,0.91181,0.9296,0.92105,0.95887,0.70203,0.96468,0.49687,1.06033,0.002278,0.002278,0.002278
80,4048.8,0.53145,0.36383,0.91251,0.92594,0.92105,0.95889,0.70294,0.96246,0.49481,1.05868,0.002179,0.002179,0.002179
81,4098.29,0.52537,0.35619,0.91092,0.92,0.92696,0.9591,0.70407,0.96095,0.4934,1.05679,0.00208,0.00208,0.00208
82,4147.68,0.52212,0.35992,0.91336,0.91002,0.93069,0.95876,0.70539,0.96018,0.49419,1.05594,0.001981,0.001981,0.001981
83,4196.71,0.51901,0.35074,0.90935,0.92508,0.92189,0.95894,0.70514,0.95904,0.49303,1.05542,0.001882,0.001882,0.001882
84,4246.86,0.51868,0.3549,0.91046,0.92572,0.92309,0.95942,0.7055,0.95836,0.49328,1.05569,0.001783,0.001783,0.001783
85,4296.04,0.51066,0.34414,0.90763,0.92164,0.92544,0.95989,0.70753,0.95874,0.49299,1.05549,0.001684,0.001684,0.001684
86,4345.39,0.51259,0.34204,0.90536,0.91836,0.92789,0.95976,0.70848,0.95903,0.49386,1.05577,0.001585,0.001585,0.001585
87,4394.49,0.51528,0.3416,0.90679,0.92087,0.92612,0.95985,0.70609,0.95967,0.49372,1.05623,0.001486,0.001486,0.001486
88,4443.96,0.50564,0.3349,0.90417,0.92059,0.92626,0.96029,0.70785,0.96018,0.49364,1.05684,0.001387,0.001387,0.001387
89,4493.34,0.50528,0.33397,0.90305,0.92099,0.92984,0.96026,0.7079,0.95987,0.49413,1.05649,0.001288,0.001288,0.001288
90,4543.08,0.50704,0.33593,0.90335,0.92213,0.9312,0.96043,0.70931,0.9595,0.4948,1.05633,0.001189,0.001189,0.001189
91,4592.37,0.47757,0.26436,0.87155,0.92071,0.92776,0.95991,0.70767,0.96159,0.49471,1.05797,0.00109,0.00109,0.00109
92,4640.56,0.47248,0.2612,0.86952,0.92647,0.92372,0.96106,0.70782,0.96151,0.49516,1.05856,0.000991,0.000991,0.000991
93,4689.04,0.46989,0.25476,0.86781,0.94706,0.9063,0.96107,0.70837,0.96128,0.49424,1.05856,0.000892,0.000892,0.000892
94,4737.48,0.4609,0.25067,0.86602,0.94902,0.90646,0.9615,0.70948,0.96152,0.49397,1.05893,0.000793,0.000793,0.000793
95,4786.11,0.45835,0.24786,0.86258,0.94892,0.90625,0.96144,0.7102,0.96143,0.49447,1.05908,0.000694,0.000694,0.000694
96,4834.34,0.45385,0.24326,0.85971,0.9476,0.90654,0.96134,0.70961,0.96146,0.49403,1.05922,0.000595,0.000595,0.000595
97,4882.93,0.44995,0.24039,0.85964,0.9482,0.90645,0.96143,0.70699,0.96214,0.49376,1.05956,0.000496,0.000496,0.000496
98,4931.39,0.44729,0.23801,0.85796,0.94936,0.9068,0.96103,0.70735,0.96248,0.49388,1.0598,0.000397,0.000397,0.000397
99,4979.74,0.44514,0.2366,0.85857,0.95017,0.90466,0.96121,0.70812,0.96269,0.4944,1.06004,0.000298,0.000298,0.000298
100,5028.2,0.44269,0.23433,0.85849,0.94973,0.90475,0.96167,0.70844,0.96308,0.49457,1.06067,0.000199,0.000199,0.000199
