epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1531.36,1.46835,1.23822,1.44293,0.65613,0.5688,0.62295,0.31382,1.66886,1.23484,1.61722,0.000577782,0.000577782,0.000577782
68,1553.92,1.44617,1.20774,1.42601,0.64799,0.57829,0.62673,0.3196,1.6631,1.24,1.61532,0.000561279,0.000561279,0.000561279
69,1576.25,1.43566,1.20552,1.42128,0.65146,0.58203,0.63112,0.31815,1.64395,1.23834,1.60359,0.000544776,0.000544776,0.000544776
70,1599.05,1.44157,1.19819,1.41772,0.64915,0.60014,0.62958,0.31787,1.65104,1.21631,1.61726,0.000528272,0.000528272,0.000528272
71,1621.76,1.44534,1.21431,1.41991,0.66716,0.58683,0.62986,0.31952,1.67142,1.21947,1.62131,0.000511769,0.000511769,0.000511769
72,1644.41,1.44085,1.17532,1.41312,0.63629,0.59918,0.62851,0.3168,1.66384,1.21812,1.61894,0.000495266,0.000495266,0.000495266
73,1667.63,1.42989,1.18498,1.41312,0.65351,0.57582,0.63023,0.32395,1.65905,1.20607,1.62395,0.000478762,0.000478762,0.000478762
74,1690.32,1.43846,1.21212,1.42382,0.65114,0.59375,0.62802,0.3184,1.66922,1.22931,1.61828,0.000462259,0.000462259,0.000462259
75,1713.59,1.42103,1.1762,1.40017,0.66699,0.58762,0.62899,0.3192,1.66757,1.21734,1.61446,0.000445756,0.000445756,0.000445756
76,1735.84,1.41859,1.16686,1.39985,0.68361,0.56967,0.63236,0.32357,1.66433,1.21099,1.61398,0.000429253,0.000429253,0.000429253
77,1758.88,1.41064,1.15349,1.39243,0.69302,0.57087,0.63454,0.32549,1.64202,1.19509,1.59898,0.000412749,0.000412749,0.000412749
78,1781.8,1.41149,1.14879,1.39729,0.64601,0.6012,0.63477,0.32317,1.64853,1.19241,1.59688,0.000396246,0.000396246,0.000396246
79,1804.85,1.40918,1.15713,1.3916,0.65525,0.58692,0.63255,0.32187,1.66045,1.20083,1.60697,0.000379743,0.000379743,0.000379743
80,1827.94,1.41114,1.14896,1.39335,0.66719,0.59451,0.64219,0.32486,1.65438,1.18857,1.60296,0.000363239,0.000363239,0.000363239
81,1850.8,1.38693,1.1176,1.37487,0.67465,0.58537,0.6414,0.32976,1.65002,1.17564,1.59677,0.000346736,0.000346736,0.000346736
82,1873.34,1.40083,1.13064,1.38576,0.6757,0.57419,0.6385,0.32831,1.65976,1.17988,1.61245,0.000330233,0.000330233,0.000330233
83,1896.23,1.39544,1.12037,1.38038,0.67832,0.58206,0.64212,0.3285,1.65464,1.17444,1.60916,0.000313729,0.000313729,0.000313729
84,1919.28,1.38124,1.1075,1.36826,0.68031,0.58119,0.64597,0.3299,1.67,1.15271,1.62158,0.000297226,0.000297226,0.000297226
85,1942.03,1.39009,1.12402,1.38647,0.65931,0.6072,0.64421,0.3297,1.66495,1.17054,1.6219,0.000280723,0.000280723,0.000280723
86,1964.65,1.3799,1.09584,1.37015,0.64664,0.60446,0.63948,0.3271,1.66747,1.16899,1.6175,0.00026422,0.00026422,0.00026422
87,1987.29,1.37536,1.09702,1.36951,0.64545,0.60865,0.6422,0.32948,1.65796,1.17213,1.61298,0.000247716,0.000247716,0.000247716
88,2010.22,1.3643,1.11004,1.37016,0.6639,0.59913,0.6421,0.33012,1.65706,1.16638,1.6068,0.000231213,0.000231213,0.000231213
89,2032.5,1.36117,1.06835,1.35304,0.6747,0.59452,0.643,0.32986,1.6702,1.17587,1.61965,0.00021471,0.00021471,0.00021471
90,2054.94,1.35551,1.08308,1.35858,0.67415,0.59812,0.6414,0.32993,1.67157,1.17298,1.6225,0.000198206,0.000198206,0.000198206
91,2078.56,1.36747,1.01814,1.37942,0.65993,0.60983,0.642,0.32849,1.66766,1.1624,1.62106,0.000181703,0.000181703,0.000181703
92,2101.05,1.34757,0.98241,1.37009,0.67475,0.60074,0.64467,0.32822,1.67104,1.1592,1.62201,0.0001652,0.0001652,0.0001652
93,2123.23,1.34012,0.97405,1.36604,0.65598,0.61831,0.64974,0.33002,1.67433,1.15555,1.63042,0.000148696,0.000148696,0.000148696
94,2145.49,1.33515,0.96427,1.36679,0.65959,0.61986,0.65138,0.32994,1.66785,1.15038,1.62705,0.000132193,0.000132193,0.000132193
95,2167.79,1.33103,0.9552,1.35896,0.6559,0.62793,0.64818,0.32808,1.67318,1.15256,1.62651,0.00011569,0.00011569,0.00011569
96,2190.35,1.32265,0.9466,1.35287,0.65707,0.61254,0.64651,0.32861,1.6773,1.1541,1.62909,9.91865e-05,9.91865e-05,9.91865e-05
97,2212.61,1.32616,0.93416,1.351,0.64019,0.63424,0.64937,0.32902,1.67493,1.14863,1.62745,8.26832e-05,8.26832e-05,8.26832e-05
98,2235.08,1.30261,0.92437,1.34268,0.65097,0.63995,0.65141,0.33108,1.67519,1.149,1.62897,6.61799e-05,6.61799e-05,6.61799e-05
99,2257.42,1.31385,0.92922,1.34865,0.65916,0.63044,0.6509,0.32967,1.67776,1.14881,1.6317,4.96766e-05,4.96766e-05,4.96766e-05
100,2279.75,1.30313,0.92286,1.33766,0.66407,0.62885,0.65051,0.33004,1.67366,1.14766,1.6273,3.31733e-05,3.31733e-05,3.31733e-05
